Diluted To Vol.,Sample Prep Vol.,Sample ID,Conc (Calib),Analyte Name,Wavelength,Description
 , ,ICV1,4.945848765,Al,396.167,5
 , ,ICV1,4.999225649,As ,188.978,5
 , ,ICV1,5.046894576,Be ,313.04,5
 , ,ICV1,4.998109217,Ca ,315.879,5
 , ,ICV1,4.989815055,Cd.,214.444,5
 , ,ICV1,5.031851249,Co ,228.618,5
 , ,ICV1,5.057834771,Cr ,205.564,5
 , ,ICV1,4.672537223,Cu,324.755,5
 , ,ICV1,5.023146419,Fe,238.204,5
 , ,ICV1,4.92103317,Mg,285.218,5
 , ,ICV1,5.055999908,Mn,257.613,5
 , ,ICV1,5.011462471,Mo,202.034,5
 , ,ICV1,5.102590744,Ni,231.608,5
 , ,ICV1,5.430045898,Pb,220.352,5
 , ,ICV1,4.919288211,Sb,217.585,5
 , ,ICV1,5.119516496,Se,196.028,5
 , ,ICV1,5.327512784,Sn ,189.929,5
 , ,ICV1,5.011331328,Ti,334.942,5
 , ,ICV1,4.958060941,Tl,190.796,5
 , ,ICV1,4.949018808,V,290.882,5
 , ,ICV1,4.96362614,Zn,206.199,5
 , ,LSD-01,-0.000513907,Al,396.167,0.0015
 , ,LSD-01,-0.001093062,As ,188.978,0.0015
 , ,LSD-01,0.001461168,Be ,313.04,0.0015
 , ,LSD-01,0.005374109,Ca ,315.879,0.0015
 , ,LSD-01,0.001344823,Cd.,214.444,0.0015
 , ,LSD-01,0.001114873,Co ,228.618,0.0015
 , ,LSD-01,0.001615184,Cr ,205.564,0.0015
 , ,LSD-01,0.00757082,Cu,324.755,0.0015
 , ,LSD-01,0.002919447,Fe,238.204,0.0015
 , ,LSD-01,0.002031674,Mg,285.218,0.0015
 , ,LSD-01,0.001529235,Mn,257.613,0.0015
 , ,LSD-01,0.000978681,Mo,202.034,0.0015
 , ,LSD-01,0.001110352,Ni,231.608,0.0015
 , ,LSD-01,0.003077374,Pb,220.352,0.0015
 , ,LSD-01,0.002184834,Sb,217.585,0.0015
 , ,LSD-01,-0.00138626,Se,196.028,0.0015
 , ,LSD-01,-0.000687037,Sn ,189.929,0.0015
 , ,LSD-01,0.002116516,Ti,334.942,0.0015
 , ,LSD-01,0.000788296,Tl,190.796,0.0015
 , ,LSD-01,0.001733249,V,290.882,0.0015
 , ,LSD-01,0.00129262,Zn,206.199,0.0015
 , ,LSD-02,0.014149747,Al,396.167,0.01
 , ,LSD-02,0.011643967,As ,188.978,0.01
 , ,LSD-02,0.009784353,Be ,313.04,0.01
 , ,LSD-02,0.015422519,Ca ,315.879,0.01
 , ,LSD-02,0.010353166,Cd.,214.444,0.01
 , ,LSD-02,0.010622268,Co ,228.618,0.01
 , ,LSD-02,0.010398958,Cr ,205.564,0.01
 , ,LSD-02,0.010022382,Cu,324.755,0.01
 , ,LSD-02,0.012164184,Fe,238.204,0.01
 , ,LSD-02,0.011474873,Mg,285.218,0.01
 , ,LSD-02,0.010603281,Mn,257.613,0.01
 , ,LSD-02,0.009399363,Mo,202.034,0.01
 , ,LSD-02,0.011027864,Ni,231.608,0.01
 , ,LSD-02,0.013843294,Pb,220.352,0.01
 , ,LSD-02,0.006966664,Sb,217.585,0.01
 , ,LSD-02,0.005759675,Se,196.028,0.01
 , ,LSD-02,0.009538947,Sn ,189.929,0.01
 , ,LSD-02,0.010298386,Ti,334.942,0.01
 , ,LSD-02,0.008244331,Tl,190.796,0.01
 , ,LSD-02,0.010249386,V,290.882,0.01
 , ,LSD-02,0.010224637,Zn,206.199,0.01
 , ,LSD-03,0.022042417,Al,396.167,0.025
 , ,LSD-03,0.021322709,As ,188.978,0.025
 , ,LSD-03,0.023902243,Be ,313.04,0.025
 , ,LSD-03,0.030651766,Ca ,315.879,0.025
 , ,LSD-03,0.025322064,Cd.,214.444,0.025
 , ,LSD-03,0.025873465,Co ,228.618,0.025
 , ,LSD-03,0.027691903,Cr ,205.564,0.025
 , ,LSD-03,0.030276376,Cu,324.755,0.025
 , ,LSD-03,0.034276292,Fe,238.204,0.025
 , ,LSD-03,0.02478293,Mg,285.218,0.025
 , ,LSD-03,0.026213104,Mn,257.613,0.025
 , ,LSD-03,0.023955499,Mo,202.034,0.025
 , ,LSD-03,0.026537569,Ni,231.608,0.025
 , ,LSD-03,0.031866306,Pb,220.352,0.025
 , ,LSD-03,0.026861929,Sb,217.585,0.025
 , ,LSD-03,0.015024411,Se,196.028,0.025
 , ,LSD-03,0.025034126,Sn ,189.929,0.025
 , ,LSD-03,0.024433243,Ti,334.942,0.025
 , ,LSD-03,0.023150411,Tl,190.796,0.025
 , ,LSD-03,0.02550884,V,290.882,0.025
 , ,LSD-03,0.026192445,Zn,206.199,0.025
 , ,LSD-04,0.050675933,Al,396.167,0.05
 , ,LSD-04,0.041157332,As ,188.978,0.05
 , ,LSD-04,0.048706501,Be ,313.04,0.05
 , ,LSD-04,0.048903911,Ca ,315.879,0.05
 , ,LSD-04,0.051624485,Cd.,214.444,0.05
 , ,LSD-04,0.053805576,Co ,228.618,0.05
 , ,LSD-04,0.052973372,Cr ,205.564,0.05
 , ,LSD-04,0.055776454,Cu,324.755,0.05
 , ,LSD-04,0.053329613,Fe,238.204,0.05
 , ,LSD-04,0.047759936,Mg,285.218,0.05
 , ,LSD-04,0.04913877,Mn,257.613,0.05
 , ,LSD-04,0.051417025,Mo,202.034,0.05
 , ,LSD-04,0.053647094,Ni,231.608,0.05
 , ,LSD-04,0.05964793,Pb,220.352,0.05
 , ,LSD-04,0.052095328,Sb,217.585,0.05
 , ,LSD-04,0.040894503,Se,196.028,0.05
 , ,LSD-04,0.049188103,Sn ,189.929,0.05
 , ,LSD-04,0.049326059,Ti,334.942,0.05
 , ,LSD-04,0.052197266,Tl,190.796,0.05
 , ,LSD-04,0.048645287,V,290.882,0.05
 , ,LSD-04,0.051196092,Zn,206.199,0.05
 , ,LSD-05,0.25460828,Al,396.167,0.25
 , ,LSD-05,0.23422111,As ,188.978,0.25
 , ,LSD-05,0.250421207,Be ,313.04,0.25
 , ,LSD-05,0.256622953,Ca ,315.879,0.25
 , ,LSD-05,0.245071247,Cd.,214.444,0.25
 , ,LSD-05,0.262958669,Co ,228.618,0.25
 , ,LSD-05,0.261147706,Cr ,205.564,0.25
 , ,LSD-05,0.274346054,Cu,324.755,0.25
 , ,LSD-05,0.254561158,Fe,238.204,0.25
 , ,LSD-05,0.238765748,Mg,285.218,0.25
 , ,LSD-05,0.250911249,Mn,257.613,0.25
 , ,LSD-05,0.257719947,Mo,202.034,0.25
 , ,LSD-05,0.264159259,Ni,231.608,0.25
